brand_model	model_y	stars	test_date
Alfa Romeo 147	2001 - 2010	3	01/2002
2001 - 2010	2001 - 2010		
3		3	
01/2002			01/2002
Alfa Romeo 159	2005 - 2011	5	01/2006
2005 - 2011	2005 - 2011		
5		5	
01/2006			01/2006
Alfa Romeo Giulia	ab 2016	5	06/2016
ab 2016	ab 2016		
5		5	
06/2016			06/2016
Alfa Romeo Giulietta	ab 2010	5	05/2010
ab 2010	ab 2010		
5		5	
05/2010			05/2010
Alfa Romeo MiTo	ab 2008	5	11/2008
ab 2008	ab 2008		
5		5	
11/2008			11/2008
Audi A1	ab 2010	5	11/2010
ab 2010	ab 2010		
5		5	
11/2010			11/2010
Audi A2	2000 - 2005	4	07/2002
2000 - 2005	2000 - 2005		
4		4	
07/2002			07/2002
Audi A3	2003 - 2012	4	09/2003
2003 - 2012	2003 - 2012		
4		4	
09/2003			09/2003
Audi A3	1996 - 2003	4	08/1998
1996 - 2003	1996 - 2003		
4		4	
08/1998			08/1998
Audi A3	ab 2012	5	08/2012
ab 2012	ab 2012		
5		5	
08/2012			08/2012
Audi A3 Sportback e-tron	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
Audi A4	/ A5 ab 2015	5	11/2015
/ A5 ab 2015	/ A5 ab 2015		
5		5	
11/2015			11/2015
Audi A4	2000 - 2004	4	03/2001
2000 - 2004	2000 - 2004		
4		4	
03/2001			03/2001
Audi A4	ab 2007	5	05/2008
ab 2007	ab 2007		
5		5	
05/2008			05/2008
Audi A6	1997 - 2004	3	10/1998
1997 - 2004	1997 - 2004		
3		3	
10/1998			10/1998
Audi A6	2004 - 2011	5	11/2004
2004 - 2011	2004 - 2011		
5		5	
11/2004			11/2004
Audi A6	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
Audi Q2	ab 2016	5	11/2016
ab 2016	ab 2016		
5		5	
11/2016			11/2016
Audi Q3	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Audi Q5	ab 2017	5	03/2017
ab 2017	ab 2017		
5		5	
03/2017			03/2017
Audi Q7	ab 2015	5	09/2015
ab 2015	ab 2015		
5		5	
09/2015			09/2015
Audi Q7	ab 2006	4	09/2006
ab 2006	ab 2006		
4		4	
09/2006			09/2006
Audi TT Roadster	1999 - 2006	4	02/2003
1999 - 2006	1999 - 2006		
4		4	
02/2003			02/2003
Audi TT Sport	ab 2015	4	02/2015
ab 2015	ab 2015		
4		4	
02/2015			02/2015
BMW 1er	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
BMW 2er Active Tourer	ab 2014	5	11/2014
ab 2014	ab 2014		
5		5	
11/2014			11/2014
BMW 3er	ab 2012	5	05/2012
ab 2012	ab 2012		
5		5	
05/2012			05/2012
BMW 3er	2001 - 2005	4	01/2002
2001 - 2005	2001 - 2005		
4		4	
01/2002			01/2002
BMW 3er	2005 - 2012	5	06/2005
2005 - 2012	2005 - 2012		
5		5	
06/2005			06/2005
BMW 5er	1996 - 2003	4	10/1998
1996 - 2003	1996 - 2003		
4		4	
10/1998			10/1998
BMW 5er	2003 - 2010	4	11/2003
2003 - 2010	2003 - 2010		
4		4	
11/2003			11/2003
BMW 5er	2010 - 2017	5	05/2010
2010 - 2017	2010 - 2017		
5		5	
05/2010			05/2010
BMW 5er	ab 2017	5	04/2017
ab 2017	ab 2017		
5		5	
04/2017			04/2017
BMW i3	ab 2013	4	11/2013
ab 2013	ab 2013		
4		4	
11/2013			11/2013
BMW Mini	ab 2007	5	07/2007
ab 2007	ab 2007		
5		5	
07/2007			07/2007
