y_rep_rank;car_make_model;fault_rate;mileage;report_year;car_prod_y
1.;Porsche 911;2.1%;29 000 km;2017;2015
1.;Mercedes-Benz GLK;2.1%;52 000 km;2017;2015
3.;Mercedes-Benz B;2.2%;40 000 km;2017;2015
4.;Mercedes-Benz A;2.3%;40 000 km;2017;2015
5.;Mercedes-Benz SLK;2.4%;29 000 km;2017;2015
6.;Mercedes-Benz M;2.5%;63 000 km;2017;2015
6.;Mazda 2;2.5%;33 000 km;2017;2015
8.;Opel Adam;2.6%;26 000 km;2017;2015
8.;Opel Mokka;2.6%;35 000 km;2017;2015
10.;Audi Q5;2.7%;61 000 km;2017;2015
11.;Mercedes-Benz C;2.9%;57 000 km;2017;2015
12.;Audi Q3;3.0%;45 000 km;2017;2015
13.;Audi A6;3.1%;79 000 km;2017;2015
13.;Audi TT;3.1%;35 000 km;2017;2015
15.;BMW X1;3.2%;45 000 km;2017;2015
15.;Volkswagen Golf Plus;3.2%;33 000 km;2017;2015
17.;Mercedes-Benz E Coupé;3.3%;41 000 km;2017;2015
18.;Škoda Citigo;3.4%;34 000 km;2017;2015
18.;Audi A3;3.4%;47 000 km;2017;2015
18.;Audi A1;3.4%;36 000 km;2017;2015
21.;Audi A4;3.5%;73 000 km;2017;2015
21.;Škoda Octavia;3.5%;53 000 km;2017;2015
23.;Volvo V40;3.6%;48 000 km;2017;2015
23.;Mitsubishi ASX;3.6%;42 000 km;2017;2015
25.;Volkswagen Golf;3.7%;43 000 km;2017;2015
26.;Seat Leon;3.8%;44 000 km;2017;2015
26.;Mazda 3;3.8%;35 000 km;2017;2015
26.;Volkswagen Beetle;3.8%;34 000 km;2017;2015
29.;Toyota Yaris;3.9%;32 000 km;2017;2015
30.;Volvo XC60;4.0%;63 000 km;2017;2015
30.;Smart Fortwo;4.0%;28 000 km;2017;2015
30.;Toyota Corolla Verso;4.0%;42 000 km;2017;2015
30.;Seat Altea;4.0%;44 000 km;2017;2015
34.;BMW X3;4.1%;55 000 km;2017;2015
34.;Mercedes-Benz E;4.1%;83 000 km;2017;2015
36.;Volvo S60;4.2%;61 000 km;2017;2015
37.;Honda Jazz;4.3%;30 000 km;2017;2015
37.;BMW Mini;4.3%;33 000 km;2017;2015
37.;Toyota Auris;4.3%;36 000 km;2017;2015
37.;Opel Agila;4.3%;23 000 km;2017;2015
37.;Volkswagen Up!;4.3%;32 000 km;2017;2015
37.;Kia Picanto;4.3%;28 000 km;2017;2015
43.;Honda Civic;4.4%;44 000 km;2017;2015
43.;Opel Astra;4.4%;49 000 km;2017;2015
43.;Volkswagen Polo;4.4%;36 000 km;2017;2015
43.;BMW Mini Countryman;4.4%;39 000 km;2017;2015
47.;Opel Meriva;4.5%;32 000 km;2017;2015
47.;Suzuki SX4;4.5%;35 000 km;2017;2015
47.;Honda CRV;4.5%;41 000 km;2017;2015
47.;Seat mii;4.5%;31 000 km;2017;2015
51.;Renault Modus;4.6%;27 000 km;2017;2015
51.;Mazda CX-5;4.6%;44 000 km;2017;2015
51.;BMW 1;4.6%;44 000 km;2017;2015
54.;Peugeot 208;4.7%;35 000 km;2017;2015
55.;Hyundai ix20;4.8%;30 000 km;2017;2015
55.;Ford Fiesta;4.8%;48 000 km;2017;2015
57.;Volkswagen EOS;4.9%;38 000 km;2017;2015
57.;Renault Scénic;4.9%;41 000 km;2017;2015
57.;Hyundai i30;4.9%;40 000 km;2017;2015
57.;Škoda Fabia;4.9%;39 000 km;2017;2015
61.;Nissan Juke;5.0%;36 000 km;2017;2015
62.;Volkswagen Tiguan;5.1%;47 000 km;2017;2015
62.;BMW 3;5.1%;61 000 km;2017;2015
62.;Ford C-Max;5.1%;45 000 km;2017;2015
62.;Mazda 5;5.1%;41 000 km;2017;2015
66.;Ford Kuga;5.2%;48 000 km;2017;2015
66.;Ford B-Max;5.2%;30 000 km;2017;2015
66.;Toyota RAV4;5.2%;41 000 km;2017;2015
66.;Ford Focus;5.2%;51 000 km;2017;2015
66.;BMW X5;5.2%;64 000 km;2017;2015
66.;Mitsubishi Colt;5.2%;32 000 km;2017;2015
72.;Suzuki Swift;5.3%;35 000 km;2017;2015
72.;Škoda Yeti;5.3%;43 000 km;2017;2015
72.;Mazda 6;5.3%;46 000 km;2017;2015
75.;Nissan Note;5.4%;38 000 km;2017;2015
75.;Kia Venga;5.4%;31 000 km;2017;2015
75.;Toyota Avensis;5.4%;51 000 km;2017;2015
78.;Volkswagen Touareg;5.5%;66 000 km;2017;2015
78.;Fiat Panda;5.5%;28 000 km;2017;2015
78.;Suzuki Jimny;5.5%;27 000 km;2017;2015
78.;Seat Ibiza;5.5%;39 000 km;2017;2015
82.;Suzuki Grand Vitara;5.6%;40 000 km;2017;2015
83.;Mitsubishi Outlander;5.7%;50 000 km;2017;2015
84.;Škoda Roomster;5.8%;40 000 km;2017;2015
84.;Toyota Yaris Hybrid;5.8%;32 000 km;2017;2015
84.;Opel Zafira;5.8%;58 000 km;2017;2015
84.;Kia Cee´d;5.8%;40 000 km;2017;2015
84.;Nissan Qashqai;5.8%;44 000 km;2017;2015
84.;Opel Corsa;5.8%;33 000 km;2017;2015
90.;Kia Rio;6.1%;35 000 km;2017;2015
91.;Škoda Superb;6.3%;76 000 km;2017;2015
92.;Citroën C4;6.4%;45 000 km;2017;2015
92.;Hyundai i10;6.4%;28 000 km;2017;2015
92.;Renault Mégane;6.4%;50 000 km;2017;2015
95.;Citroën C4 Picasso;6.5%;49 000 km;2017;2015
96.;BMW 5;6.6%;70 000 km;2017;2015
97.;Citroën C3 Picasso;6.7%;36 000 km;2017;2015
97.;Renault Clio;6.7%;33 000 km;2017;2015
97.;Citroën Berlingo;6.7%;50 000 km;2017;2015
97.;Chevrolet Cruze;6.7%;45 000 km;2017;2015
97.;Volkswagen Passat;6.7%;85 000 km;2017;2015
102.;Peugeot 107;6.8%;31 000 km;2017;2015
102.;Hyundai ix35;6.8%;41 000 km;2017;2015
104.;Alfa Romeo Giulietta;6.9%;40 000 km;2017;2015
104.;Renault Twingo;6.9%;32 000 km;2017;2015
104.;Opel Insignia;6.9%;67 000 km;2017;2015
104.;Citroën C5;6.9%;65 000 km;2017;2015
108.;Toyota Aygo;7.1%;35 000 km;2017;2015
108.;Volkswagen Scirocco;7.1%;42 000 km;2017;2015
110.;Dacia Sandero;7.4%;37 000 km;2017;2015
111.;Seat Alhambra;7.5%;65 000 km;2017;2015
111.;Volkswagen Touran;7.5%;65 000 km;2017;2015
111.;Citroën C1;7.5%;34 000 km;2017;2015
114.;Nissan Micra;7.6%;28 000 km;2017;2015
114.;Volkswagen CC;7.6%;64 000 km;2017;2015
114.;Volvo V70;7.6%;69 000 km;2017;2015
117.;Ford Galaxy;7.8%;73 000 km;2017;2015
118.;Peugeot 308;7.9%;49 000 km;2017;2015
118.;Hyundai i20;7.9%;32 000 km;2017;2015
118.;Volkswagen Sharan;7.9%;68 000 km;2017;2015
121.;Citroën C3;8.0%;37 000 km;2017;2015
122.;Volkswagen Caddy Life;8.2%;59 000 km;2017;2015
122.;Ford S-Max;8.2%;67 000 km;2017;2015
124.;Ford Mondeo;8.3%;74 000 km;2017;2015
125.;Renault Kangoo;9.0%;46 000 km;2017;2015
126.;Dacia Duster;9.2%;51 000 km;2017;2015
126.;Fiat 500;9.2%;28 000 km;2017;2015
128.;Ford Ka;9.4%;31 000 km;2017;2015
129.;Dacia Logan;9.8%;43 000 km;2017;2015
130.;Fiat Punto;10.5%;33 000 km;2017;2015
131.;Chevrolet Spark;10.6%;30 000 km;2017;2015
